#time	observable	value
13.4 	ideal_proj	1.58328780431752e-05

13.45 	ideal_proj	1.40507999188272e-05

13.5 	ideal_proj	1.24575869818552e-05

13.55 	ideal_proj	1.10498454555312e-05

13.6 	ideal_proj	9.82037049137315e-06

13.65 	ideal_proj	8.75882845113045e-06

13.7 	ideal_proj	7.85246720512589e-06

13.75 	ideal_proj	7.08682142524615e-06

13.8 	ideal_proj	6.44637909964063e-06

13.85 	ideal_proj	5.91519942939458e-06

13.9 	ideal_proj	5.4774573559977e-06

13.95 	ideal_proj	5.1179039336739e-06

14 	ideal_proj	4.82223831715143e-06

14.05 	ideal_proj	5.01496040066128e-06

14.1 	ideal_proj	5.18055719601174e-06

14.15 	ideal_proj	5.31565828816032e-06

14.2 	ideal_proj	5.41749684214043e-06

14.25 	ideal_proj	5.48401549433133e-06

14.3 	ideal_proj	5.51394927161486e-06

14.35 	ideal_proj	5.50688881923943e-06

14.4 	ideal_proj	5.46330445558627e-06

14.45 	ideal_proj	5.38454465393365e-06

14.5 	ideal_proj	5.2728033424192e-06

14.55 	ideal_proj	5.13105323007444e-06

14.6 	ideal_proj	4.96294908057944e-06

14.65 	ideal_proj	4.77270881907369e-06

14.7 	ideal_proj	4.56497283529544e-06

14.75 	ideal_proj	4.34464716707015e-06

14.8 	ideal_proj	4.1167413945821e-06

14.85 	ideal_proj	3.88620251256459e-06

14.9 	ideal_proj	3.65775839327865e-06

14.95 	ideal_proj	3.4357674569352e-06

15 	ideal_proj	3.22409429770054e-06

15.05 	ideal_proj	3.02600259946227e-06

15.1 	ideal_proj	2.84407708606145e-06

15.15 	ideal_proj	2.68017529900002e-06

15.2 	ideal_proj	2.53540843162154e-06

15.25 	ideal_proj	2.41015261453829e-06

15.3 	ideal_proj	2.30408813418662e-06

15.35 	ideal_proj	2.21626325334217e-06

15.4 	ideal_proj	2.14517851076111e-06

15.45 	ideal_proj	2.08888774868266e-06

15.5 	ideal_proj	2.1551502502667e-06

15.55 	ideal_proj	2.23566901191667e-06

15.6 	ideal_proj	2.33177878925895e-06

15.65 	ideal_proj	2.44433619787488e-06

15.7 	ideal_proj	2.57364623971675e-06

15.75 	ideal_proj	2.7194082387842e-06

15.8 	ideal_proj	2.88068347355915e-06

15.85 	ideal_proj	3.05588764674331e-06

15.9 	ideal_proj	3.2428091747068e-06

15.95 	ideal_proj	3.43865366254665e-06

16 	ideal_proj	3.6401133977713e-06

16.05 	ideal_proj	3.84345940385367e-06

16.1 	ideal_proj	4.04465235021095e-06

16.15 	ideal_proj	4.23946910318138e-06

16.2 	ideal_proj	4.42363754133865e-06

16.25 	ideal_proj	4.5929759590748e-06

16.3 	ideal_proj	4.74353128281142e-06

16.35 	ideal_proj	4.87170732845675e-06

16.4 	ideal_proj	4.97438205352843e-06

16.45 	ideal_proj	5.04900687012189e-06

16.5 	ideal_proj	5.09368243077159e-06

16.55 	ideal_proj	5.10721246783006e-06

16.6 	ideal_proj	5.08913119497223e-06

16.65 	ideal_proj	5.03970160795274e-06

16.7 	ideal_proj	4.95989234794639e-06

16.75 	ideal_proj	4.85132841010509e-06

16.8 	ideal_proj	4.71622131229621e-06

16.85 	ideal_proj	4.55728342901179e-06

16.9 	ideal_proj	4.37762742723473e-06

16.95 	ideal_proj	4.63193210075244e-06

17 	ideal_proj	4.93933828153504e-06

17.05 	ideal_proj	5.30918789150329e-06

17.1 	ideal_proj	5.75079417491142e-06

17.15 	ideal_proj	6.27310764811426e-06

17.2 	ideal_proj	6.88434807199424e-06

17.25 	ideal_proj	7.5916116653471e-06

17.3 	ideal_proj	8.4004692886396e-06

17.35 	ideal_proj	9.31457168669086e-06

17.4 	ideal_proj	1.03352769401489e-05

17.45 	ideal_proj	1.14613212300521e-05

17.5 	ideal_proj	1.26885502524184e-05

17.55 	ideal_proj	1.40097285790984e-05

17.6 	ideal_proj	1.54144405975087e-05

17.65 	ideal_proj	1.68890965719539e-05

17.7 	ideal_proj	1.84170530857373e-05

17.75 	ideal_proj	1.99788502933091e-05

17.8 	ideal_proj	2.15525570938491e-05

17.85 	ideal_proj	2.31142422967641e-05

17.9 	ideal_proj	2.46385265696173e-05

17.95 	ideal_proj	2.60992217525997e-05

18 	ideal_proj	2.74700313603686e-05

18.05 	ideal_proj	2.87252833850968e-05

18.1 	ideal_proj	2.98406721671665e-05

18.15 	ideal_proj	3.07939807748046e-05

18.2 	ideal_proj	3.15657552551594e-05

18.25 	ideal_proj	3.21398993992982e-05

18.3 	ideal_proj	3.25041802309224e-05

18.35 	ideal_proj	3.2650604499678e-05

18.4 	ideal_proj	3.2010398933033e-05

18.45 	ideal_proj	3.11672193855149e-05

18.5 	ideal_proj	3.01390143653959e-05

18.55 	ideal_proj	2.89470391655874e-05

18.6 	ideal_proj	2.761518139968e-05

18.65 	ideal_proj	2.61692280689094e-05

18.7 	ideal_proj	2.46360997255394e-05

18.75 	ideal_proj	2.30430715221403e-05

18.8 	ideal_proj	2.1417028588032e-05

18.85 	ideal_proj	1.97837678089496e-05

18.9 	ideal_proj	1.81673749110612e-05

18.95 	ideal_proj	1.65896958047543e-05

19 	ideal_proj	1.5069915128147e-05

19.05 	ideal_proj	1.36242499645763e-05

19.1 	ideal_proj	1.22657654247643e-05

19.15 	ideal_proj	1.10043018066656e-05

19.2 	ideal_proj	9.84652225883871e-06

19.25 	ideal_proj	8.7960491568989e-06

19.3 	ideal_proj	7.85369318775569e-06

19.35 	ideal_proj	7.01774696467536e-06

19.4 	ideal_proj	6.28433060839737e-06

19.45 	ideal_proj	5.64777270922524e-06

19.5 	ideal_proj	5.10100152267715e-06

19.55 	ideal_proj	4.63593686094881e-06

19.6 	ideal_proj	4.2438653754e-06

19.65 	ideal_proj	3.91578618609172e-06

19.7 	ideal_proj	3.64271922832189e-06

19.75 	ideal_proj	3.41596770537308e-06

19.8 	ideal_proj	3.55286284314795e-06

19.85 	ideal_proj	3.67470834943617e-06

19.9 	ideal_proj	3.779434355384e-06

19.95 	ideal_proj	3.86528202993989e-06

20 	ideal_proj	3.93086297424211e-06

20.05 	ideal_proj	3.97521050117266e-06

20.1 	ideal_proj	3.99781421176421e-06

