#time	operator	index_1	index_2	index_3	value
1.6	XZZ	1	5	3	0.89217855806924
1.6	XZZ	3	1	7	0.909097590948884
1.6	XZZ	7	3	11	0.924786918139842
1.6	XZZ	11	7	15	0.867938178922168
1.6	XZZ	15	11	19	0.865062356769035
1.6	XZZ	19	15	23	0.843693184665306
1.6	XZZ	23	19	21	0.877281862099646
1.6	XZZ	21	23	17	0.903066081363197
1.6	XZZ	17	21	13	0.916598210815739
1.6	XZZ	13	17	9	0.875317878243753
1.6	XZZ	9	13	5	0.423729200129306
1.6	XZZ	5	9	1	0.44050277090173

1.65	XZZ	1	5	3	0.881204342973616
1.65	XZZ	3	1	7	0.899884389730123
1.65	XZZ	7	3	11	0.917290344911772
1.65	XZZ	11	7	15	0.861696998551541
1.65	XZZ	15	11	19	0.847277658589882
1.65	XZZ	19	15	23	0.831383311194296
1.65	XZZ	23	19	21	0.868107354788695
1.65	XZZ	21	23	17	0.894707221155301
1.65	XZZ	17	21	13	0.910570106203602
1.65	XZZ	13	17	9	0.869411114082222
1.65	XZZ	9	13	5	0.376254070554819
1.65	XZZ	5	9	1	0.392506861021636

1.7	XZZ	1	5	3	0.869673095208545
1.7	XZZ	3	1	7	0.890162560855469
1.7	XZZ	7	3	11	0.909309854959511
1.7	XZZ	11	7	15	0.854955978998447
1.7	XZZ	15	11	19	0.828270764581301
1.7	XZZ	19	15	23	0.818447249298883
1.7	XZZ	23	19	21	0.858537784311041
1.7	XZZ	21	23	17	0.885909733039263
1.7	XZZ	17	21	13	0.904147894736303
1.7	XZZ	13	17	9	0.863239239819577
1.7	XZZ	9	13	5	0.329419578596472
1.7	XZZ	5	9	1	0.344703393744882

1.75	XZZ	1	5	3	0.857604303179505
1.75	XZZ	3	1	7	0.879946134822522
1.75	XZZ	7	3	11	0.900856114795615
1.75	XZZ	11	7	15	0.847725396722444
1.75	XZZ	15	11	19	0.80809489838716
1.75	XZZ	19	15	23	0.804911951424844
1.75	XZZ	23	19	21	0.848585563237422
1.75	XZZ	21	23	17	0.876685273597806
1.75	XZZ	17	21	13	0.897339307528836
1.75	XZZ	13	17	9	0.856807631229565
1.75	XZZ	9	13	5	0.283705997721108
1.75	XZZ	5	9	1	0.297626211114272

1.8	XZZ	1	5	3	0.845017719582184
1.8	XZZ	3	1	7	0.869249230015659
1.8	XZZ	7	3	11	0.891939758124462
1.8	XZZ	11	7	15	0.840015412375541
1.8	XZZ	15	11	19	0.786805486333796
1.8	XZZ	19	15	23	0.790804687629201
1.8	XZZ	23	19	21	0.838262838740043
1.8	XZZ	21	23	17	0.867045435889247
1.8	XZZ	17	21	13	0.89015189622422
1.8	XZZ	13	17	9	0.850121331873707
1.8	XZZ	9	13	5	0.239575948028464
1.8	XZZ	5	9	1	0.25179433233281

1.85	XZZ	1	5	3	0.831932451516654
1.85	XZZ	3	1	7	0.858085630193187
1.85	XZZ	7	3	11	0.882570983144424
1.85	XZZ	11	7	15	0.831836917076864
1.85	XZZ	15	11	19	0.764460392218714
1.85	XZZ	19	15	23	0.776152968959979
1.85	XZZ	23	19	21	0.827582042390584
1.85	XZZ	21	23	17	0.857001105328481
1.85	XZZ	17	21	13	0.882592695524196
1.85	XZZ	13	17	9	0.843184679171452
1.85	XZZ	9	13	5	0.197469540384855
1.85	XZZ	5	9	1	0.207706068361919

1.9	XZZ	1	5	3	0.818370520173468
1.9	XZZ	3	1	7	0.846471546786346
1.9	XZZ	7	3	11	0.872762403835462
1.9	XZZ	11	7	15	0.823202074207027
1.9	XZZ	15	11	19	0.741120951713509
1.9	XZZ	19	15	23	0.760986481983004
1.9	XZZ	23	19	21	0.816556935373343
1.9	XZZ	21	23	17	0.846565656204394
