#time	quantity	value
4.4 	duration_ms	646

4.45 	tr_rho	1
4.45 	S_2	2.32522850625677
4.45 	OSEE_center	0.956226967218342
4.45 	max_bond_dim	6
4.45 	duration_ms	654

4.5 	tr_rho	0.999999999999973
4.5 	S_2	2.32687245410554
4.5 	OSEE_center	0.944884857448899
4.5 	max_bond_dim	11
4.5 	duration_ms	661

4.55 	tr_rho	1
4.55 	S_2	2.32851068002732
4.55 	OSEE_center	0.933442026792961
4.55 	max_bond_dim	6
4.55 	duration_ms	669

4.6 	tr_rho	1
4.6 	S_2	2.33014316768789
4.6 	OSEE_center	0.92190122805118
4.6 	max_bond_dim	6
4.6 	duration_ms	676

4.65 	tr_rho	0.999999999999985
4.65 	S_2	2.33176990331234
4.65 	OSEE_center	0.910265259795688
4.65 	max_bond_dim	10
4.65 	duration_ms	684

4.7 	tr_rho	1
4.7 	S_2	2.33339087572332
4.7 	OSEE_center	0.898536966626605
4.7 	max_bond_dim	6
4.7 	duration_ms	692

4.75 	tr_rho	1
4.75 	S_2	2.33500607637754
4.75 	OSEE_center	0.886719239434366
4.75 	max_bond_dim	6
4.75 	duration_ms	700

4.8 	tr_rho	0.999999999999955
4.8 	S_2	2.33661549940008
4.8 	OSEE_center	0.874815015668551
4.8 	max_bond_dim	9
4.8 	duration_ms	707

4.85 	tr_rho	1
4.85 	S_2	2.33821914161725
4.85 	OSEE_center	0.862827279614121
4.85 	max_bond_dim	6
4.85 	duration_ms	715

4.9 	tr_rho	1
4.9 	S_2	2.33981700258757
4.9 	OSEE_center	0.850759062675798
4.9 	max_bond_dim	6
4.9 	duration_ms	723

4.95 	tr_rho	0.999999999999974
4.95 	S_2	2.34140908463002
4.95 	OSEE_center	0.838613443671723
4.95 	max_bond_dim	12
4.95 	duration_ms	730

5 	tr_rho	1
5 	S_2	2.34299539285084
5 	OSEE_center	0.826393549137324
5 	max_bond_dim	6
5 	duration_ms	738

5.05 	tr_rho	1
5.05 	S_2	2.34457593516838
5.05 	OSEE_center	0.814102553640679
5.05 	max_bond_dim	6
5.05 	duration_ms	746

5.1 	tr_rho	0.999999999999974
5.1 	S_2	2.34615072233451
5.1 	OSEE_center	0.801743680110615
5.1 	max_bond_dim	10
5.1 	duration_ms	753

5.15 	tr_rho	1
5.15 	S_2	2.34771976795485
5.15 	OSEE_center	0.789320200178949
5.15 	max_bond_dim	5
5.15 	duration_ms	761

5.2 	tr_rho	1
5.2 	S_2	2.34928308850638
5.2 	OSEE_center	0.776835434538414
5.2 	max_bond_dim	6
5.2 	duration_ms	768

5.25 	tr_rho	0.999999999999964
5.25 	S_2	2.35084070335195
5.25 	OSEE_center	0.764292753317918
5.25 	max_bond_dim	10
5.25 	duration_ms	775

5.3 	tr_rho	1
5.3 	S_2	2.35239263475294
5.3 	OSEE_center	0.751695576476959
5.3 	max_bond_dim	6
5.3 	duration_ms	783

5.35 	tr_rho	1
