#time	quantity	value
4.25 	duration_ms	6185026

4.3 	tr_rho	1
4.3 	S_2	9.39080142149724
4.3 	OSEE_center	1.62620846058204
4.3 	max_bond_dim	66
4.3 	duration_ms	6265415

4.35 	tr_rho	1.00000000003651
4.35 	S_2	9.39986087670488
4.35 	OSEE_center	1.59909316600593
4.35 	max_bond_dim	75
4.35 	duration_ms	6345166

4.4 	tr_rho	1
4.4 	S_2	9.40888563376799
4.4 	OSEE_center	1.57183450102721
4.4 	max_bond_dim	65
4.4 	duration_ms	6435518

4.45 	tr_rho	1
4.45 	S_2	9.41787445681419
4.45 	OSEE_center	1.54444234235988
4.45 	max_bond_dim	66
4.45 	duration_ms	6522935

4.5 	tr_rho	1.00000000181846
4.5 	S_2	9.42682614633353
4.5 	OSEE_center	1.51692682736959
4.5 	max_bond_dim	76
4.5 	duration_ms	6610937

4.55 	tr_rho	1
4.55 	S_2	9.43573955213834
4.55 	OSEE_center	1.48929836267916
4.55 	max_bond_dim	65
4.55 	duration_ms	6713322

4.6 	tr_rho	1
4.6 	S_2	9.44461356961948
4.6 	OSEE_center	1.46156763200287
4.6 	max_bond_dim	68
4.6 	duration_ms	6793203

4.65 	tr_rho	1.00000000577715
4.65 	S_2	9.45344717153141
4.65 	OSEE_center	1.43374560313795
4.65 	max_bond_dim	74
4.65 	duration_ms	6873050

4.7 	tr_rho	1
4.7 	S_2	9.46223941520378
4.7 	OSEE_center	1.40584353414182
4.7 	max_bond_dim	66
4.7 	duration_ms	6972398

4.75 	tr_rho	1
4.75 	S_2	9.47098940780908
4.75 	OSEE_center	1.37787297868024
4.75 	max_bond_dim	67
4.75 	duration_ms	7055706

4.8 	tr_rho	1.00000001310053
4.8 	S_2	9.47969638612027
4.8 	OSEE_center	1.34984579056095
4.8 	max_bond_dim	75
4.8 	duration_ms	7136360

4.85 	tr_rho	1
4.85 	S_2	9.48835970333083
4.85 	OSEE_center	1.3217741275262
4.85 	max_bond_dim	64
4.85 	duration_ms	7229431

