#time	quantity	value
3.6 	OSEE_center	0.708427513452732
3.6 	max_bond_dim	10
3.6 	duration_ms	525

3.65 	tr_rho	1
3.65 	S_2	2.28674580263472
3.65 	OSEE_center	0.720760197103451
3.65 	max_bond_dim	6
3.65 	duration_ms	533

3.7 	tr_rho	1
3.7 	S_2	2.28834769333208
3.7 	OSEE_center	0.73304903686276
3.7 	max_bond_dim	6
3.7 	duration_ms	540

3.75 	tr_rho	1.00000000000007
3.75 	S_2	2.28995282331025
3.75 	OSEE_center	0.7452908647154
3.75 	max_bond_dim	9
3.75 	duration_ms	547

3.8 	tr_rho	1
3.8 	S_2	2.29156115574505
3.8 	OSEE_center	0.75748255548262
3.8 	max_bond_dim	5
3.8 	duration_ms	555

3.85 	tr_rho	1
3.85 	S_2	2.29317265175778
3.85 	OSEE_center	0.769621026233052
3.85 	max_bond_dim	6
3.85 	duration_ms	562

3.9 	tr_rho	1.00000000000003
3.9 	S_2	2.29478727046861
3.9 	OSEE_center	0.781703235732764
3.9 	max_bond_dim	11
3.9 	duration_ms	569

3.95 	tr_rho	1
3.95 	S_2	2.29640496904868
3.95 	OSEE_center	0.793726183932333
3.95 	max_bond_dim	5
3.95 	duration_ms	578

4 	tr_rho	1
4 	S_2	2.29802570277323
4 	OSEE_center	0.805686911489156
4 	max_bond_dim	6
4 	duration_ms	585

4.05 	tr_rho	1.00000000000006
4.05 	S_2	2.29964942507649
4.05 	OSEE_center	0.817582499323227
4.05 	max_bond_dim	9
4.05 	duration_ms	592

4.1 	tr_rho	1
4.1 	S_2	2.3012760876057
4.1 	OSEE_center	0.829410068204511
4.1 	max_bond_dim	6
4.1 	duration_ms	600

4.15 	tr_rho	1
4.15 	S_2	2.30290564027575
4.15 	OSEE_center	0.841166778370465
4.15 	max_bond_dim	6
4.15 	duration_ms	607

4.2 	tr_rho	1.00000000000009
4.2 	S_2	2.30453803132507
4.2 	OSEE_center	0.852849829171896
4.2 	max_bond_dim	10
4.2 	duration_ms	614

4.25 	tr_rho	1
4.25 	S_2	2.3061732073709
4.25 	OSEE_center	0.864456458745896
4.25 	max_bond_dim	6
4.25 	duration_ms	623

4.3 	tr_rho	1
4.3 	S_2	2.30781111346432
4.3 	OSEE_center	0.875983943714184
4.3 	max_bond_dim	6
4.3 	duration_ms	630

4.35 	tr_rho	1.00000000000007
4.35 	S_2	2.30945169314702
4.35 	OSEE_center	0.88742959890557
4.35 	max_bond_dim	9
4.35 	duration_ms	637

4.4 	tr_rho	1
4.4 	S_2	2.31109488850665
4.4 	OSEE_center	0.89879077710114
4.4 	max_bond_dim	6
4.4 	duration_ms	645

4.45 	tr_rho	1
4.45 	S_2	2.31274064023205
4.45 	OSEE_center	0.910064868800926
4.45 	max_bond_dim	6
4.45 	duration_ms	652

4.5 	tr_rho	1.00000000000006
4.5 	S_2	2.3143888876697
4.5 	OSEE_center	0.92124930201074
4.5 	max_bond_dim	11
4.5 	duration_ms	659

4.55 	tr_rho	1
4.55 	S_2	2.31603956887877
4.55 	OSEE_center	0.932341542047974
4.55 	max_bond_dim	6
4.55 	duration_ms	668

4.6 	tr_rho	1
4.6 	S_2	2.3176926206859
4.6 	OSEE_center	0.943339091365223
4.6 	max_bond_dim	6
4.6 	duration_ms	675

4.65 	tr_rho	1.00000000000018
4.65 	S_2	2.31934797874097
4.65 	OSEE_center	0.954239489390607
4.65 	max_bond_dim	9
4.65 	duration_ms	682

4.7 	tr_rho	1
4.7 	S_2	2.32100557757092
4.7 	OSEE_center	0.965040312383654
4.7 	max_bond_dim	5
4.7 	duration_ms	690

4.75 	tr_rho	1
4.75 	S_2	2.32266535063257
4.75 	OSEE_center	0.975739173305705
4.75 	max_bond_dim	6
4.75 	duration_ms	697

4.8 	tr_rho	1.00000000000006
4.8 	S_2	2.32432723036877
4.8 	OSEE_center	0.98633372170386
4.8 	max_bond_dim	8
4.8 	duration_ms	704

4.85 	tr_rho	1
4.85 	S_2	2.32599114825958
4.85 	OSEE_center	0.996821643607431
4.85 	max_bond_dim	5
4.85 	duration_ms	712

4.9 	tr_rho	1
4.9 	S_2	2.32765703487414
4.9 	OSEE_center	1.00720066143594
4.9 	max_bond_dim	6
4.9 	duration_ms	719

4.95 	tr_rho	1.00000000000007
4.95 	S_2	2.32932481992367
4.95 	OSEE_center	1.01746853391779
4.95 	max_bond_dim	11
4.95 	duration_ms	726

5 	tr_rho	1
5 	S_2	2.33099443231155
5 	OSEE_center	1.02762305601866
5 	max_bond_dim	6
5 	duration_ms	734

5.05 	tr_rho	1
5.05 	S_2	2.33266580018317
5.05 	OSEE_center	1.03766205887883
5.05 	max_bond_dim	6
5.05 	duration_ms	741

5.1 	tr_rho	1.00000000000025
5.1 	S_2	2.33433885097597
5.1 	OSEE_center	1.04758340975853
5.1 	max_bond_dim	9
5.1 	duration_ms	748

5.15 	tr_rho	1
5.15 	S_2	2.33601351146812
5.15 	OSEE_center	1.0573850119906
5.15 	max_bond_dim	5
5.15 	duration_ms	757

5.2 	tr_rho	1
5.2 	S_2	2.33768970782338
5.2 	OSEE_center	1.06706480493954
5.2 	max_bond_dim	6
5.2 	duration_ms	763

5.25 	tr_rho	1.00000000000009
5.25 	S_2	2.33936736564159
5.25 	OSEE_center	1.07662076396646
5.25 	max_bond_dim	10
5.25 	duration_ms	770

5.3 	tr_rho	1
5.3 	S_2	2.34104641000211
5.3 	OSEE_center	1.08605090039898
5.3 	max_bond_dim	5
5.3 	duration_ms	778

5.35 	tr_rho	1
5.35 	S_2	2.34272676550788
5.35 	OSEE_center	1.09535326150553
5.35 	max_bond_dim	6
5.35 	duration_ms	785

5.4 	tr_rho	1.0000000000001
5.4 	S_2	2.34440835633067
5.4 	OSEE_center	1.10452593047332
5.4 	max_bond_dim	10
5.4 	duration_ms	792

5.45 	tr_rho	1
5.45 	S_2	2.34609110625261
5.45 	OSEE_center	1.11356702638952
5.45 	max_bond_dim	6
5.45 	duration_ms	801

5.5 	tr_rho	1
5.5 	S_2	2.3477749387072
5.5 	OSEE_center	1.12247470422479
5.5 	max_bond_dim	6
5.5 	duration_ms	808

5.55 	tr_rho	1.00000000000041
5.55 	S_2	2.34945977682115
5.55 	OSEE_center	1.13124715481891
5.55 	max_bond_dim	9
