#time	operator	index	value
2.45	Y	3	-0.516272897246941
2.45	Z	3	-0.019464834754885
2.45	X	5	0.788198406774751
2.45	Y	5	-0.314866464180459
2.45	Z	5	0.00628884438845608

2.5	X	1	0.688777577097818
2.5	Y	1	-0.371599499893733
2.5	Z	1	0.00297061637408191
2.5	X	3	0.410879192645378
2.5	Y	3	-0.516601237364887
2.5	Z	3	-0.0192757660547692
2.5	X	5	0.781411992633716
2.5	Y	5	-0.319235410638532
2.5	Z	5	0.00649010092372433

2.55	X	1	0.678554262536102
2.55	Y	1	-0.374817890674796
2.55	Z	1	0.0033769579910396
2.55	X	3	0.39570816228455
2.55	Y	3	-0.516471909222945
2.55	Z	3	-0.0190867324191026
2.55	X	5	0.774536152440464
2.55	Y	5	-0.323489395739167
2.55	Z	5	0.00669131669853932

2.6	X	1	0.668238839773004
2.6	Y	1	-0.377819806170677
2.6	Z	1	0.00378313400253779
2.6	X	3	0.380630367914915
2.6	Y	3	-0.515890652129111
2.6	Z	3	-0.0188977338413819
2.6	X	5	0.76757300933077
2.6	Y	5	-0.3276270239609
2.6	Z	5	0.00689249172097824

2.65	X	1	0.657836225765889
2.65	Y	1	-0.380603550783913
2.65	Z	1	0.00418914447606915
2.65	X	3	0.365661037350375
2.65	Y	3	-0.514863763345123
2.65	Z	3	-0.0187087703151081
2.65	X	5	0.760524709591553
2.65	Y	5	-0.331646938492276
2.65	Z	5	0.00709362599947052

2.7	X	1	0.64735136991789
2.7	Y	1	-0.383167538898187
2.7	Z	1	0.0045949894790983
2.7	X	3	0.350815091384009
2.7	Y	3	-0.513398085072948
2.7	Z	3	-0.018519841833776
2.7	X	5	0.753393421909323
2.7	Y	5	-0.335547821593394
2.7	Z	5	0.00729471954201067

2.75	X	1	0.636789251611819
2.75	Y	1	-0.385510295476663
2.75	Z	1	0.00500066907906419
2.75	X	3	0.336107123546905
2.75	Y	3	-0.511500990650748
2.75	Z	3	-0.0183309483908881
2.75	X	5	0.746181336622813
2.75	Y	5	-0.339328394934556
2.75	Z	5	0.00749577235714244

2.8	X	1	0.62615487773347
2.8	Y	1	-0.387630456605056
2.8	Z	1	0.00540618334337552
2.8	X	3	0.321551380467725
2.8	Y	3	-0.509180369982888
2.8	Z	3	-0.0181420899799477
2.8	X	5	0.738890665051532
2.8	Y	5	-0.342987419988989
2.8	Z	5	0.00769678445296868

2.85	X	1	0.615453280185521
